accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000093751-24-000229,2024-01-25,,2024-01-25T11:01:29.000Z,34,SC 13G/A,005-14463,24559945,,8734,0,0,Franklin_Resources_Inc.txt,
0001127602-24-001326,2024-01-16,2024-01-11,2024-01-16T16:25:57.000Z,,4,,,,9140,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001193125-24-003302,2024-01-05,,2024-01-05T15:31:26.000Z,34,SC 13G,005-14463,24516005,,86552,0,0,d681721dsc13g.htm,SC 13G
0001127602-24-000472,2024-01-03,2024-01-02,2024-01-03T16:39:10.000Z,,4,,,,6512,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-24-000396,2024-01-03,2024-01-02,2024-01-03T16:07:16.000Z,,4,,,,6025,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001308179-23-001094,2023-12-27,2023-09-30,2023-12-27T11:03:59.000Z,34,ARS,001-09318,231515487,,10642787,0,0,lben2023_ars.pdf,FRANKLIN RESOURCES INC - ARS
0001308179-23-001093,2023-12-27,,2023-12-27T11:01:10.000Z,34,DEFA14A,001-09318,231515481,,155851,0,0,lben2024_defa14a.htm,FRANKLIN RESOURCES INC - DEFA14A
0001308179-23-001092,2023-12-27,2024-02-06,2023-12-27T11:00:23.000Z,34,DEF 14A,001-09318,231515478,,9712432,1,1,lben2024_def14a.htm,FRANKLIN RESOURCES INC - DEF 14A
0001127602-23-030382,2023-12-22,2023-12-21,2023-12-22T16:46:04.000Z,,4,,,,6058,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-030260,2023-12-21,2023-12-20,2023-12-21T14:27:58.000Z,,4,,,,9141,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-030258,2023-12-21,2023-09-30,2023-12-21T14:24:27.000Z,,5,,,,9298,0,0,xslF345X05/form5.xml,PRIMARY DOCUMENT
0001127602-23-030257,2023-12-21,2022-09-30,2023-12-21T14:20:46.000Z,,5/A,,,,12593,0,0,xslF345X05/form5a.xml,PRIMARY DOCUMENT
0001127602-23-029648,2023-12-14,2023-11-17,2023-12-14T20:24:46.000Z,,4,,,,13858,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-029647,2023-12-14,2023-12-12,2023-12-14T20:23:31.000Z,,4,,,,10915,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-029642,2023-12-14,2023-12-14,2023-12-14T19:22:45.000Z,,4,,,,4819,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001964306-23-000344,2023-12-14,,2023-12-14T18:23:20.000Z,33,144,001-09318,231488329,,6142,0,0,xsl144X01/primary_doc.xml,
0001127602-23-029611,2023-12-14,2023-12-12,2023-12-14T14:38:00.000Z,,4,,,,5981,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000038777-23-000175,2023-12-13,2023-12-12,2023-12-13T14:44:13.000Z,34,8-K,001-09318,231483729,"8.01,9.01",434376,1,1,ben-20231212.htm,8-K
0001127602-23-029295,2023-12-12,2023-12-11,2023-12-12T14:45:38.000Z,,4,,,,4513,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000038777-23-000173,2023-12-11,,2023-12-11T12:46:55.000Z,,SC 13G/A,,,,208106,0,0,paym23a4.htm,
0000038777-23-000172,2023-12-11,,2023-12-11T12:41:50.000Z,,SC 13G/A,,,,228980,0,0,beni23a2.htm,
0000038777-23-000171,2023-12-11,,2023-12-11T12:29:15.000Z,,SC 13G/A,,,,234253,0,0,appli23a3.htm,
0001964306-23-000319,2023-12-05,,2023-12-05T17:19:35.000Z,33,144,001-09318,231467620,,5481,0,0,xsl144X01/primary_doc.xml,
0001127602-23-028886,2023-12-05,2023-12-01,2023-12-05T16:37:46.000Z,,4,,,,6661,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-028882,2023-12-05,2023-12-01,2023-12-05T16:33:39.000Z,,4/A,,,,8983,0,0,xslF345X05/form4a.xml,PRIMARY DOCUMENT
0001127602-23-028839,2023-12-05,2023-12-01,2023-12-05T15:29:11.000Z,,4,,,,8664,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-028836,2023-12-05,2023-12-01,2023-12-05T15:25:35.000Z,,4,,,,9411,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-028835,2023-12-05,2023-12-01,2023-12-05T15:22:26.000Z,,4,,,,4717,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-028833,2023-12-05,2023-12-01,2023-12-05T15:21:19.000Z,,4,,,,4686,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-028831,2023-12-05,2023-12-01,2023-12-05T15:19:55.000Z,,4,,,,4720,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-028830,2023-12-05,2023-12-01,2023-12-05T15:16:37.000Z,,4,,,,4726,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0000038777-23-000170,2023-11-17,,2023-11-17T13:34:09.000Z,,SC 13D/A,,,,189150,0,0,temp23a3.htm,
0001225208-23-010234,2023-11-14,2023-11-09,2023-11-14T17:13:36.000Z,34,4,811-05459,231407928,,9157,0,0,xslF345X05/doc4.xml,
0000038777-23-000169,2023-11-14,2023-09-30,2023-11-13T18:13:39.000Z,34,10-K,001-09318,231400558,,54868380,1,1,ben-20230930.htm,10-K
0000038777-23-000147,2023-11-13,2023-09-30,2023-11-13T11:33:47.000Z,34,13F-HR,028-00734,231396657,,4776581,0,0,xslForm13F_X02/primary_doc.xml,
0001127602-23-026877,2023-11-06,2023-11-02,2023-11-06T19:02:54.000Z,,4,,,,11541,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
0001127602-23-026876,2023-11-06,2023-11-02,2023-11-06T19:01:32.000Z,,4,,,,4537,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT
