accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001558370-23-010042,2023-05-16,2023-05-11,2023-05-16T16:00:30.000Z,34,8-K,001-34774,23927330,5.07,211533,1,1,cboe-20230511x8k.htm,8-K
0001415889-23-008025,2023-05-15,2023-05-11,2023-05-15T16:52:18.000Z,,4,,,,5080,0,0,xslF345X04/form4-05152023_080511.xml,
0001415889-23-008023,2023-05-15,2023-05-11,2023-05-15T16:51:24.000Z,,4,,,,6228,0,0,xslF345X04/form4-05152023_080511.xml,
0001415889-23-008020,2023-05-15,2023-05-11,2023-05-15T16:49:58.000Z,,4,,,,5192,0,0,xslF345X04/form4-05152023_080550.xml,
0001415889-23-008016,2023-05-15,2023-05-11,2023-05-15T16:48:50.000Z,,4,,,,5081,0,0,xslF345X04/form4-05152023_080537.xml,
0001415889-23-008013,2023-05-15,2023-05-11,2023-05-15T16:47:31.000Z,,4,,,,5100,0,0,xslF345X04/form4-05152023_080509.xml,
0001415889-23-008008,2023-05-15,2023-05-11,2023-05-15T16:44:17.000Z,,4,,,,5091,0,0,xslF345X04/form4-05152023_080506.xml,
0001415889-23-008006,2023-05-15,2023-05-11,2023-05-15T16:43:31.000Z,,4,,,,5052,0,0,xslF345X04/form4-05152023_080521.xml,
0001415889-23-008004,2023-05-15,2023-05-11,2023-05-15T16:42:36.000Z,,4,,,,5088,0,0,xslF345X04/form4-05152023_080518.xml,
0001415889-23-008000,2023-05-15,2023-05-11,2023-05-15T16:41:22.000Z,,4,,,,5035,0,0,xslF345X04/form4-05152023_080508.xml,
0001415889-23-007999,2023-05-15,2023-05-11,2023-05-15T16:39:05.000Z,,4,,,,5066,0,0,xslF345X04/form4-05152023_080557.xml,
0001415889-23-007996,2023-05-15,2023-05-11,2023-05-15T16:38:16.000Z,,4,,,,5107,0,0,xslF345X04/form4-05152023_080504.xml,
9999999997-23-002481,2023-05-08,,2023-05-08T07:06:35.000Z,34,CT ORDER,001-34774,23895822,"20230508,20230508",160039,0,0,filename1.pdf,
0001558370-23-008202,2023-05-05,2023-03-31,2023-05-05T08:18:04.000Z,34,10-Q,001-34774,23891397,,17607262,1,1,cboe-20230331x10q.htm,10-Q
0001558370-23-008193,2023-05-05,2023-05-05,2023-05-05T07:30:11.000Z,34,8-K,001-34774,23891230,"2.02,9.01",1401703,1,1,cboe-20230505x8k.htm,8-K
0001558370-23-005197,2023-03-31,2022-12-31,2023-03-31T08:04:32.000Z,34,ARS,001-34774,23783333,,2314241,0,0,cboe-20221231xars.pdf,ARS
0001558370-23-005195,2023-03-31,,2023-03-31T08:02:59.000Z,34,DEF 14A,001-34774,23783328,,5842377,1,1,cboe-20230511xdef14a.htm,DEF 14A
0001415889-23-003013,2023-02-22,2023-02-19,2023-02-22T17:05:08.000Z,,4,,,,26124,0,0,xslF345X03/form4-02222023_100230.xml,
0001415889-23-003011,2023-02-22,2023-02-19,2023-02-22T17:03:37.000Z,,4,,,,21171,0,0,xslF345X03/form4-02222023_100211.xml,
0001415889-23-003009,2023-02-22,2023-02-19,2023-02-22T17:02:46.000Z,,4,,,,21076,0,0,xslF345X03/form4-02222023_100230.xml,
0001415889-23-003008,2023-02-22,2023-02-19,2023-02-22T17:00:48.000Z,,4,,,,21065,0,0,xslF345X03/form4-02222023_100209.xml,
0001415889-23-003005,2023-02-22,2023-02-19,2023-02-22T16:55:55.000Z,,4,,,,21050,0,0,xslF345X03/form4-02222023_090221.xml,
0001415889-23-003004,2023-02-22,2023-02-19,2023-02-22T16:54:43.000Z,,4,,,,21080,0,0,xslF345X03/form4-02222023_090210.xml,
0001415889-23-003003,2023-02-22,2023-02-19,2023-02-22T16:53:06.000Z,,4,,,,21049,0,0,xslF345X03/form4-02222023_090226.xml,
0001415889-23-003002,2023-02-22,2023-02-17,2023-02-22T16:51:46.000Z,,4,,,,24279,0,0,xslF345X03/form4-02222023_090229.xml,
0001104659-23-023272,2023-02-17,,2023-02-17T16:11:54.000Z,33,S-3ASR,333-269860,23642624,,3094883,0,0,tm236703-1_s3asr.htm,S-3ASR
0001558370-23-001489,2023-02-17,2022-12-31,2023-02-17T08:31:17.000Z,34,10-K,001-34774,23640400,,30589793,1,1,cboe-20221231x10k.htm,10-K
0001558370-23-001295,2023-02-14,2023-02-09,2023-02-14T17:01:55.000Z,34,8-K,001-34774,23631215,"5.02,9.01",822505,1,1,cboe-20230209x8k.htm,8-K
0000080255-23-002601,2023-02-14,,2023-02-14T12:38:05.000Z,34,SC 13G/A,005-85558,,,7139,0,0,cboe13gadec22.txt,
0001415889-23-002287,2023-02-10,2023-02-08,2023-02-10T16:42:01.000Z,,4,,,,6853,0,0,xslF345X03/form4-02102023_090245.xml,
0001415889-23-002286,2023-02-10,2023-02-08,2023-02-10T16:40:39.000Z,,4,,,,6957,0,0,xslF345X03/form4-02102023_090216.xml,
0001415889-23-002285,2023-02-10,2023-02-08,2023-02-10T16:39:24.000Z,,4,,,,6875,0,0,xslF345X03/form4-02102023_090214.xml,
0001415889-23-002284,2023-02-10,2023-02-08,2023-02-10T16:38:25.000Z,,4,,,,6858,0,0,xslF345X03/form4-02102023_090210.xml,
0001415889-23-002283,2023-02-10,2023-02-08,2023-02-10T16:37:08.000Z,,4,,,,6857,0,0,xslF345X03/form4-02102023_090243.xml,
0001415889-23-002282,2023-02-10,2023-02-08,2023-02-10T16:35:45.000Z,,4,,,,6840,0,0,xslF345X03/form4-02102023_090233.xml,
0001104659-23-015583,2023-02-09,,2023-02-09T11:12:43.000Z,34,SC 13G/A,005-85558,23602698,,13070,0,0,tv0537-cboeglobalmarketsinc.htm,SCHEDULE 13G/A
0001558370-23-000806,2023-02-03,2023-02-03,2023-02-03T07:30:28.000Z,34,8-K,001-34774,23583731,"2.02,9.01",1659533,1,1,cboe-20230203x8k.htm,8-K
0001306550-23-004540,2023-01-30,,2023-01-30T10:18:09.000Z,34,SC 13G/A,005-85558,23565728,,13685,0,0,us12503m1080_013023.txt,
0001415889-22-012157,2022-12-07,2022-12-05,2022-12-07T16:21:14.000Z,,4,,,,4538,0,0,xslF345X03/form4-12072022_091206.xml,
0000834237-22-011101,2022-12-07,,2022-12-07T10:27:15.000Z,34,SC 13G/A,005-85558,221449371,,13653,0,0,us12503m1080_120622.txt,
0001415889-22-011879,2022-12-01,2022-11-30,2022-12-01T16:20:50.000Z,,4,,,,5997,0,0,xslF345X03/form4-12012022_091242.xml,
0001415889-22-011739,2022-11-23,2022-11-21,2022-11-23T16:05:56.000Z,,4,,,,4644,0,0,xslF345X03/form4-11232022_091138.xml,
0001558370-22-018044,2022-11-17,2022-11-16,2022-11-17T17:00:29.000Z,34,8-K,001-34774,221399225,"5.02,9.01",257464,1,1,cboe-20221116x8k.htm,8-K
0001415889-22-011235,2022-11-09,2022-11-07,2022-11-09T16:10:25.000Z,,4,,,,5065,0,0,xslF345X03/form4-11092022_091109.xml,
0001415889-22-011158,2022-11-08,2022-11-04,2022-11-08T16:13:27.000Z,,4,,,,4781,0,0,xslF345X03/form4-11082022_091117.xml,
0001558370-22-016342,2022-11-04,2022-09-30,2022-11-04T08:16:03.000Z,34,10-Q,001-34774,221360241,,20989903,1,1,cboe-20220930x10q.htm,10-Q
0001558370-22-016338,2022-11-04,2022-11-04,2022-11-04T07:30:40.000Z,34,8-K,001-34774,221360189,"2.02,9.01",1732759,1,1,cboe-20221104x8k.htm,8-K
0001415889-22-010348,2022-10-05,2022-10-03,2022-10-05T16:08:09.000Z,,4,,,,4785,0,0,xslF345X03/form4-10052022_011043.xml,
0001415889-22-009544,2022-09-12,2022-09-08,2022-09-12T17:33:18.000Z,,4,,,,4562,0,0,xslF345X03/form4-09122022_020909.xml,
0001415889-22-009543,2022-09-12,2022-09-08,2022-09-12T17:29:46.000Z,,4,,,,4644,0,0,xslF345X03/form4-09122022_020937.xml,
0001415889-22-009503,2022-09-09,2022-09-07,2022-09-09T16:38:44.000Z,,4,,,,5089,0,0,xslF345X03/form4-09092022_010936.xml,
0001558370-22-011344,2022-07-29,2022-06-30,2022-07-29T08:16:32.000Z,34,10-Q,001-34774,221117453,,21219599,1,1,cboe-20220630x10q.htm,10-Q
0001558370-22-011336,2022-07-29,2022-07-29,2022-07-29T07:30:42.000Z,34,8-K,001-34774,221117387,"2.02,9.01",1673332,1,1,cboe-20220729x8k.htm,8-K
0001104659-22-077405,2022-07-05,2022-06-30,2022-07-05T16:47:48.000Z,34,8-K,001-34774,221065848,"1.01,2.03,9.01",3145033,1,1,tm2220319d1_8k.htm,FORM 8-K
0001558370-22-010051,2022-06-15,2022-06-10,2022-06-15T17:05:22.000Z,34,8-K,001-34774,221018456,"5.02,9.01",155241,1,1,cboe-20220610x8k.htm,8-K
0001415889-22-005793,2022-05-27,2022-05-23,2022-05-27T16:06:14.000Z,,4,,,,5983,0,0,xslF345X03/form4-05272022_010549.xml,
0001415889-22-005314,2022-05-19,2022-05-17,2022-05-19T16:22:16.000Z,,4,,,,4516,0,0,xslF345X03/form4-05192022_010506.xml,
0001558370-22-009123,2022-05-17,2022-05-12,2022-05-17T16:51:04.000Z,34,8-K,001-34774,22935328,"5.07,9.01",215130,1,1,cboe-20220512x8k.htm,8-K
0001415889-22-005135,2022-05-17,2022-05-13,2022-05-17T16:09:30.000Z,,4,,,,8447,0,0,xslF345X03/form4-05172022_010543.xml,
0001415889-22-005046,2022-05-16,2022-05-12,2022-05-16T17:17:02.000Z,,4,,,,5502,0,0,xslF345X03/form4-05162022_020518.xml,
0001415889-22-005042,2022-05-16,2022-05-12,2022-05-16T17:07:49.000Z,,4,,,,4803,0,0,xslF345X03/form4-05162022_020500.xml,
0001415889-22-005030,2022-05-16,2022-05-12,2022-05-16T16:43:20.000Z,,4,,,,4775,0,0,xslF345X03/form4-05162022_010547.xml,
0001415889-22-005026,2022-05-16,2022-05-12,2022-05-16T16:41:05.000Z,,4,,,,4776,0,0,xslF345X03/form4-05162022_010550.xml,
0001415889-22-005025,2022-05-16,2022-05-12,2022-05-16T16:37:11.000Z,,4,,,,5951,0,0,xslF345X03/form4-05162022_010555.xml,
0001415889-22-005022,2022-05-16,2022-05-12,2022-05-16T16:33:37.000Z,,4,,,,4915,0,0,xslF345X03/form4-05162022_010551.xml,
0001415889-22-005021,2022-05-16,2022-05-12,2022-05-16T16:30:33.000Z,,4,,,,4804,0,0,xslF345X03/form4-05162022_010515.xml,
0001415889-22-005018,2022-05-16,2022-05-12,2022-05-16T16:28:00.000Z,,4,,,,4823,0,0,xslF345X03/form4-05162022_010519.xml,
0001415889-22-005017,2022-05-16,2022-05-12,2022-05-16T16:25:01.000Z,,4,,,,4814,0,0,xslF345X03/form4-05162022_010545.xml,
0001415889-22-005015,2022-05-16,2022-05-12,2022-05-16T16:22:26.000Z,,4,,,,4775,0,0,xslF345X03/form4-05162022_010506.xml,
0001415889-22-005014,2022-05-16,2022-05-12,2022-05-16T16:17:27.000Z,,4,,,,4811,0,0,xslF345X03/form4-05162022_010516.xml,
0001415889-22-005011,2022-05-16,2022-05-12,2022-05-16T16:14:06.000Z,,4,,,,4758,0,0,xslF345X03/form4-05162022_010555.xml,
