accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001225208-24-000986,2024-01-17,2024-01-12,2024-01-17T16:35:01.000Z,,4,,,,5135,0,0,xslF345X05/doc4.xml,
0001225208-24-000985,2024-01-17,2024-01-12,2024-01-17T16:34:59.000Z,,4,,,,5093,0,0,xslF345X05/doc4.xml,
0001225208-24-000984,2024-01-17,2024-01-12,2024-01-17T16:34:56.000Z,,4,,,,5744,0,0,xslF345X05/doc4.xml,
0001225208-24-000983,2024-01-17,2024-01-12,2024-01-17T16:34:52.000Z,,4,,,,5071,0,0,xslF345X05/doc4.xml,
0001225208-24-000982,2024-01-17,2024-01-12,2024-01-17T16:34:42.000Z,,4,,,,5069,0,0,xslF345X05/doc4.xml,
0001225208-24-000981,2024-01-17,2024-01-12,2024-01-17T16:34:34.000Z,,4,,,,5069,0,0,xslF345X05/doc4.xml,
0001225208-24-000980,2024-01-17,2024-01-12,2024-01-17T16:34:31.000Z,,4,,,,5118,0,0,xslF345X05/doc4.xml,
0001225208-24-000402,2024-01-04,2024-01-01,2024-01-04T17:40:22.000Z,,3,,,,10183,0,0,xslF345X02/doc3.xml,
0001225208-24-000401,2024-01-04,2024-01-01,2024-01-04T17:40:20.000Z,,3,,,,13200,0,0,xslF345X02/doc3.xml,
0001225208-24-000400,2024-01-04,2024-01-01,2024-01-04T17:40:14.000Z,,3,,,,9825,0,0,xslF345X02/doc3.xml,
0001225208-24-000399,2024-01-04,2024-01-01,2024-01-04T17:40:02.000Z,,3,,,,11468,0,0,xslF345X02/doc3.xml,
0001225208-24-000397,2024-01-04,2024-01-02,2024-01-04T17:32:40.000Z,,4,,,,6122,0,0,xslF345X05/doc4.xml,
0001225208-24-000396,2024-01-04,2024-01-02,2024-01-04T17:32:34.000Z,,4,,,,6140,0,0,xslF345X05/doc4.xml,
0001225208-24-000395,2024-01-04,2024-01-02,2024-01-04T17:32:31.000Z,,4,,,,6075,0,0,xslF345X05/doc4.xml,
0001225208-24-000398,2024-01-04,2024-01-02,2024-01-04T17:32:29.000Z,,4,,,,8811,0,0,xslF345X05/doc4.xml,
0001225208-24-000394,2024-01-04,2024-01-02,2024-01-04T17:32:27.000Z,,4,,,,6090,0,0,xslF345X05/doc4.xml,
