accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000028412-21-000142,2021-07-29,2021-07-27,2021-07-29T16:58:50.000Z,,4,,,,5150,0,0,xslF345X03/wf-form4_162759225266236.xml,FORM 4
0000028412-21-000140,2021-07-29,2021-06-30,2021-07-29T16:55:37.000Z,34,10-Q,001-10706,211128297,,23608999,1,1,cma-20210630.htm,10-Q
0000028412-21-000139,2021-07-29,2021-07-27,2021-07-29T16:54:23.000Z,,4,,,,6556,0,0,xslF345X03/wf-form4_162759198549886.xml,FORM 4
0000028412-21-000137,2021-07-29,2021-07-27,2021-07-29T16:52:04.000Z,,4,,,,5876,0,0,xslF345X03/wf-form4_162759188381131.xml,FORM 4
0000028412-21-000135,2021-07-29,2021-07-27,2021-07-29T16:49:49.000Z,,4,,,,5802,0,0,xslF345X03/wf-form4_162759173020256.xml,FORM 4
0000028412-21-000133,2021-07-29,2021-07-27,2021-07-29T16:47:29.000Z,,4,,,,5183,0,0,xslF345X03/wf-form4_162759158071487.xml,FORM 4
0000028412-21-000131,2021-07-29,2021-07-27,2021-07-29T16:44:32.000Z,,4,,,,5074,0,0,xslF345X03/wf-form4_162759137009129.xml,FORM 4
0000028412-21-000128,2021-07-27,2021-07-24,2021-07-27T17:15:04.000Z,,4,,,,16349,0,0,xslF345X03/wf-form4_162742047502723.xml,FORM 4
0000028412-21-000126,2021-07-21,2021-07-21,2021-07-21T06:37:27.000Z,34,8-K,001-10706,211102747,"2.02,7.01,9.01",5050130,1,1,cma-20210721.htm,8-K
0000028412-21-000124,2021-06-11,2021-06-11,2021-06-11T16:30:46.000Z,34,8-K,001-10706,211011694,"7.01,9.01",4634102,1,1,cma-20210611.htm,8-K
0000028412-21-000122,2021-05-27,2020-12-31,2021-05-27T17:29:32.000Z,34,11-K,001-10706,21974393,,211311,0,0,a2020cmapreferredsavingspl.htm,11-K
