accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000834237-20-006042,2020-02-05,,2020-02-05T12:16:34.000Z,34,SC 13G/A,005-89275,20577843,,13585,0,0,us70450y1038_020520.txt,
0001633917-20-000025,2020-01-29,2020-01-29,2020-01-29T16:28:01.000Z,34,8-K,001-36859,20558521,"2.02,9.01",1077683,1,1,pypl8-kq42019.htm,8-K
0001633917-20-000021,2020-01-09,2020-01-09,2020-01-09T16:14:57.000Z,34,8-K,001-36859,20518326,2.02,182073,1,1,a8-kq419investmentsfv.htm,8-K
0001633917-20-000018,2020-01-07,2020-01-03,2020-01-07T17:23:56.000Z,,4,,,,5642,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001193125-20-003006,2020-01-07,,2020-01-07T16:06:10.000Z,33,S-8,333-235832,20513387,,213181,0,0,d858421ds8.htm,S-8
0001633917-20-000016,2020-01-07,2020-01-02,2020-01-07T11:40:40.000Z,,4,,,,5797,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000012,2020-01-06,2020-01-02,2020-01-06T19:09:11.000Z,,4,,,,4887,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000010,2020-01-06,2020-01-02,2020-01-06T19:06:43.000Z,,4,,,,5099,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000008,2020-01-06,2020-01-02,2020-01-06T19:03:43.000Z,,4,,,,4923,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000006,2020-01-06,2020-01-02,2020-01-06T19:01:04.000Z,,4,,,,4891,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000004,2020-01-06,2020-01-02,2020-01-06T18:58:06.000Z,,4,,,,5100,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-20-000002,2020-01-06,2020-01-02,2020-01-06T18:54:25.000Z,,4,,,,4909,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000228,2019-12-30,2019-12-23,2019-12-30T16:29:13.000Z,34,8-K,001-36859,191316928,"5.02,9.01",401083,1,1,a8-kexeccicandseveranc.htm,8-K
0001633917-19-000224,2019-12-23,2019-12-19,2019-12-23T18:40:50.000Z,,4,,,,11967,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000222,2019-12-09,2019-12-05,2019-12-09T18:03:49.000Z,,4,,,,17628,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000220,2019-12-05,2019-12-03,2019-12-05T20:58:10.000Z,,4,,,,11074,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000218,2019-12-03,2019-11-27,2019-12-03T18:41:23.000Z,,4,,,,4400,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000216,2019-11-20,2019-11-18,2019-11-20T18:28:25.000Z,,4,,,,19219,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000214,2019-11-19,2019-11-15,2019-11-19T17:16:10.000Z,,4,,,,11814,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000212,2019-11-04,2019-10-31,2019-11-04T18:02:51.000Z,,4,,,,30721,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000899243-19-026262,2019-10-29,2019-10-25,2019-10-29T21:40:33.000Z,,4,,,,9015,0,0,xslF345X03/doc4.xml,FORM 4 SUBMISSION
0001633917-19-000210,2019-10-24,2019-09-30,2019-10-24T18:55:45.000Z,34,10-Q,001-36859,191166835,,14129863,1,1,pypl10-qq32019.htm,10-Q
0001633917-19-000208,2019-10-23,2019-10-23,2019-10-23T16:31:11.000Z,34,8-K,001-36859,191164111,"2.02,9.01",1006310,1,1,pypl8-kq32019.htm,8-K
0001633917-19-000204,2019-10-08,2019-10-08,2019-10-08T16:26:16.000Z,34,8-K,001-36859,191142909,"2.02,9.01",180812,1,1,a8-kq319investmentsfv.htm,8-K
0001193125-19-255466,2019-09-26,2019-09-26,2019-09-26T10:58:04.000Z,34,8-K,001-36859,191116173,"1.01,9.01",1220573,1,1,d810419d8k.htm,8-K
0001193125-19-252221,2019-09-23,,2019-09-23T16:33:20.000Z,33,424B2,333-233776,191108381,,559450,0,0,d709593d424b2.htm,424B2
0001193125-19-250755,2019-09-20,2019-09-19,2019-09-20T16:46:03.000Z,34,8-K,001-36859,191105216,"8.01,9.01",357135,1,1,d709596d8k.htm,8-K
0001193125-19-249667,2019-09-19,,2019-09-19T17:23:03.000Z,34,FWP,333-233776,191102304,,40215,0,0,d709593dfwp.htm,FWP
0001193125-19-249017,2019-09-19,,2019-09-19T08:41:31.000Z,33,424B2,333-233776,191101010,,601573,0,0,d709593d424b2.htm,424B2
0001633917-19-000202,2019-09-17,2019-09-15,2019-09-17T17:40:49.000Z,,4,,,,12275,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001193125-19-246165,2019-09-17,,2019-09-17T06:06:02.000Z,33,305B2,333-233776,191095947,,58867,0,0,d709593d305b2.htm,305B2
0001193125-19-245458,2019-09-16,,2019-09-16T08:38:55.000Z,33,S-3ASR,333-233776,191093841,,750674,0,0,d709593ds3asr.htm,S-3ASR
0001633917-19-000200,2019-09-16,2019-09-16,2019-09-16T08:11:16.000Z,34,8-K,001-36859,191093810,"8.01,9.01",16101938,1,1,pypl8-k.htm,8-K
0001193125-19-244026,2019-09-12,2019-09-11,2019-09-12T17:22:06.000Z,34,8-K,001-36859,191091030,"1.01,1.02,2.03,9.01",2282861,1,1,d803876d8k.htm,8-K
0001633917-19-000198,2019-09-09,2019-09-05,2019-09-09T17:54:47.000Z,,4,,,,20794,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000196,2019-09-04,2019-09-01,2019-09-04T18:19:10.000Z,,4,,,,14042,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000194,2019-08-28,2019-08-26,2019-08-28T18:08:18.000Z,,4,,,,14139,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000192,2019-08-26,2019-08-22,2019-08-26T17:17:46.000Z,,4,,,,23979,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000190,2019-08-20,2019-08-16,2019-08-20T17:27:16.000Z,,4,,,,11992,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000188,2019-08-19,2019-08-15,2019-08-19T17:32:09.000Z,,4,,,,13473,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000186,2019-08-12,2019-08-08,2019-08-12T19:57:30.000Z,,4,,,,20512,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000184,2019-07-31,2019-07-26,2019-07-31T17:32:44.000Z,,4,,,,23562,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000182,2019-07-30,2019-07-26,2019-07-30T17:53:06.000Z,,4,,,,8823,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000000000-19-011528,2019-07-25,,2019-07-25T17:06:56.000Z,,UPLOAD,,,,39414,0,0,filename1.pdf,
0001633917-19-000180,2019-07-25,2019-06-30,2019-07-25T16:36:25.000Z,34,10-Q,001-36859,19974899,,13067686,1,1,pypl10-qq22019.htm,10-Q
0001633917-19-000178,2019-07-24,2019-07-24,2019-07-24T16:22:40.000Z,34,8-K,001-36859,19971171,"2.02,9.01",807731,0,0,pypl8-kq22019.htm,8-K
0001633917-19-000174,2019-07-19,2019-07-17,2019-07-19T17:32:32.000Z,,4,,,,17455,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000172,2019-07-17,2019-07-15,2019-07-17T18:42:45.000Z,,4,,,,13471,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000170,2019-07-16,,2019-07-16T14:27:26.000Z,,CORRESP,,,,33648,0,0,filename1.htm,
0001633917-19-000168,2019-07-09,2019-07-09,2019-07-09T16:24:35.000Z,34,8-K,001-36859,19947462,2.02,22509,0,0,a8-kq2_2019investmentsfv.htm,8-K
0000000000-19-010564,2019-07-02,,2019-07-02T10:01:47.000Z,,UPLOAD,,,,48505,0,0,filename1.pdf,
0001633917-19-000166,2019-06-21,,2019-06-21T13:15:46.000Z,,CORRESP,,,,44748,0,0,filename1.htm,
0001633917-19-000164,2019-06-20,2019-06-17,2019-06-20T16:14:21.000Z,34,8-K,001-36859,19908699,5.02,19195,0,0,a8-kprojectessex.htm,8-K
0001633917-19-000162,2019-06-18,2019-06-15,2019-06-18T19:23:41.000Z,,4,,,,12265,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0000000000-19-009683,2019-06-11,,2019-06-11T13:10:50.000Z,,UPLOAD,,,,44745,0,0,filename1.pdf,
0001633917-19-000160,2019-06-10,2019-06-06,2019-06-10T19:17:02.000Z,,4,,,,22200,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000158,2019-06-04,2019-06-01,2019-06-04T19:45:28.000Z,,4,,,,14042,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000156,2019-05-24,2019-05-22,2019-05-24T18:49:38.000Z,,4,,,,5779,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000154,2019-05-24,2019-05-22,2019-05-24T18:46:17.000Z,,4,,,,4869,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000152,2019-05-24,2019-05-22,2019-05-24T18:42:16.000Z,,4,,,,5080,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000150,2019-05-24,2019-05-22,2019-05-24T18:36:51.000Z,,4,,,,5120,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000148,2019-05-24,2019-05-22,2019-05-24T18:31:59.000Z,,4,,,,5057,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000146,2019-05-24,2019-05-22,2019-05-24T18:28:06.000Z,,4,,,,4905,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000144,2019-05-24,2019-05-22,2019-05-24T18:24:47.000Z,,4,,,,4873,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000142,2019-05-24,2019-05-22,2019-05-24T18:21:25.000Z,,4,,,,5081,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000140,2019-05-24,2019-05-22,2019-05-24T18:17:46.000Z,,4,,,,4885,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000138,2019-05-24,2019-05-22,2019-05-24T18:13:40.000Z,,4,,,,4891,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
0001633917-19-000136,2019-05-24,2019-05-22,2019-05-24T18:09:31.000Z,,4,,,,4873,0,0,xslF345X03/edgardoc.xml,PRIMARY DOCUMENT
