accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0001179110-14-002517,2014-02-11,2014-02-07,2014-02-11T18:14:42.000Z,,4,,,,12167,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002514,2014-02-11,2014-02-07,2014-02-11T18:11:29.000Z,,4,,,,20193,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002512,2014-02-11,2014-02-07,2014-02-11T18:09:51.000Z,,4,,,,19680,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002416,2014-02-10,2010-06-30,2014-02-10T16:47:49.000Z,,4,,,,20566,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002413,2014-02-10,2010-06-30,2014-02-10T16:45:39.000Z,,4,,,,20736,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002410,2014-02-10,2010-06-30,2014-02-10T16:43:45.000Z,,4,,,,16841,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002409,2014-02-10,2011-06-30,2014-02-10T16:43:30.000Z,,4,,,,11139,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002406,2014-02-10,2011-06-30,2014-02-10T16:40:38.000Z,,4,,,,15938,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002405,2014-02-10,2010-06-30,2014-02-10T16:40:23.000Z,,4,,,,20723,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002402,2014-02-10,2014-02-06,2014-02-10T16:38:35.000Z,,4,,,,5849,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002401,2014-02-10,2014-02-06,2014-02-10T16:38:16.000Z,,4,,,,5839,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002398,2014-02-10,2014-02-06,2014-02-10T16:34:53.000Z,,4,,,,5808,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002396,2014-02-10,2014-02-06,2014-02-10T16:34:04.000Z,,4,,,,5697,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002394,2014-02-10,2014-02-06,2014-02-10T16:31:22.000Z,,4,,,,4685,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002393,2014-02-10,2014-02-06,2014-02-10T16:31:03.000Z,,4,,,,5852,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002390,2014-02-10,2014-02-06,2014-02-10T16:28:29.000Z,,4,,,,5912,0,0,xslF345X03/edgar.xml,FORM 4 -
0001193125-14-043247,2014-02-10,,2014-02-10T16:23:40.000Z,,SC 13G/A,,,,55988,0,0,d673571dsc13ga.htm,SC 13G/A
0001179110-14-002388,2014-02-10,2012-07-02,2014-02-10T16:18:07.000Z,,4,,,,11070,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002213,2014-02-06,2014-02-04,2014-02-06T17:42:18.000Z,,4,,,,8071,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002211,2014-02-06,2014-02-04,2014-02-06T17:41:26.000Z,,4,,,,5848,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002209,2014-02-06,2014-02-04,2014-02-06T17:38:46.000Z,,4,,,,5912,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002207,2014-02-06,2014-02-04,2014-02-06T17:37:26.000Z,,4,,,,5790,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002205,2014-02-06,2014-02-04,2014-02-06T17:34:28.000Z,,4,,,,5693,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002203,2014-02-06,2014-02-04,2014-02-06T17:32:06.000Z,,4,,,,5852,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002202,2014-02-06,2014-02-04,2014-02-06T17:30:37.000Z,,4,,,,5697,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002199,2014-02-06,2014-02-04,2014-02-06T17:28:48.000Z,,4,,,,5859,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002196,2014-02-06,2014-02-04,2014-02-06T17:27:17.000Z,,4,,,,5862,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002192,2014-02-06,2014-02-04,2014-02-06T17:24:39.000Z,,4,,,,4685,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002191,2014-02-06,2014-02-04,2014-02-06T17:24:22.000Z,,4,,,,5808,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002188,2014-02-06,2014-02-04,2014-02-06T17:21:46.000Z,,4,,,,5839,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002187,2014-02-06,2014-02-04,2014-02-06T17:20:49.000Z,,4,,,,5849,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-002184,2014-02-06,2014-02-04,2014-02-06T17:18:02.000Z,,4,,,,5863,0,0,xslF345X03/edgar.xml,FORM 4 -
0001104659-14-006350,2014-02-04,2014-02-04,2014-02-04T16:11:53.000Z,34,8-K,001-32525,14572377,"2.02,9.01",8214553,0,0,a14-4536_18k.htm,8-K
0001104659-14-004880,2014-01-29,2014-01-28,2014-01-29T16:37:00.000Z,34,8-K,001-32525,14557399,"5.03,9.01",171414,0,0,a14-4613_18k.htm,8-K
0001086364-14-000363,2014-01-28,,2014-01-28T10:57:50.000Z,34,SC 13G/A,005-81042,14551237,,13692,0,0,ameriprise.financial.inc..txt,
0001104659-14-003564,2014-01-22,2014-01-22,2014-01-22T16:55:30.000Z,34,8-K,001-32525,14540753,5.02,22447,0,0,a14-4124_18k.htm,8-K
0000019617-14-000011,2014-01-13,,2014-01-13T14:51:02.000Z,34,SC 13G/A,005-81042,14524249,,38490,0,0,AMERIPRISEFINLINC.HTM,
0001104659-14-000558,2014-01-06,2013-12-30,2014-01-06T14:36:35.000Z,34,8-K,001-32525,14509313,5.02,22400,0,0,a14-1232_18k.htm,8-K
0001179110-14-000122,2014-01-03,2013-11-26,2014-01-03T13:44:49.000Z,,4,,,,6752,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-000118,2014-01-03,2013-12-24,2014-01-03T13:42:19.000Z,,4,,,,6205,0,0,xslF345X03/edgar.xml,FORM 4 -
0001179110-14-000116,2014-01-03,2013-12-31,2014-01-03T13:40:07.000Z,,4,,,,5851,0,0,xslF345X03/edgar.xml,FORM 4 -
